num_steps,num_blocks,num_threads,thread_steps,result,runtime
1000000,1000000,1,1,3.14135,0.349204
1000000,1000000,1,1,3.14135,0.212721
1000000,1000000,1,1,3.14135,0.32272
1000000,1000000,1,1,3.14135,0.310424
1000000,1000000,1,1,3.14135,0.418506
1000000,1000000,1,1,3.14135,0.46599
1000000,1000000,1,1,3.14135,0.46467
1000000,1000000,1,1,3.14135,0.469124
1000000,1000000,1,1,3.14135,0.468973
1000000,1000000,1,1,3.14135,0.466194
10000000,10000000,1,1,3.09941,2.30123
10000000,10000000,1,1,3.09941,2.48378
10000000,10000000,1,1,3.09941,2.29226
10000000,10000000,1,1,3.09941,1.79361
10000000,10000000,1,1,3.09941,1.78725
10000000,10000000,1,1,3.09941,2.00042
10000000,10000000,1,1,3.09941,1.8345
10000000,10000000,1,1,3.09941,1.89974
10000000,10000000,1,1,3.09941,1.95303
10000000,10000000,1,1,3.09941,1.58439
100000000,100000000,1,1,0.671089,12.8998
100000000,100000000,1,1,0.671089,17.3365
100000000,100000000,1,1,0.671089,23.3511
100000000,100000000,1,1,0.671089,21.9586
100000000,100000000,1,1,0.671089,21.0437
100000000,100000000,1,1,0.671089,22.264
100000000,100000000,1,1,0.671089,23.7646
100000000,100000000,1,1,0.671089,24.08
100000000,100000000,1,1,0.671089,24.2596
100000000,100000000,1,1,0.671089,24.0522
1000000000,1000000000,1,1,0,0.288479
1000000000,1000000000,1,1,0,0.244068
1000000000,1000000000,1,1,0,0.249157
1000000000,1000000000,1,1,0,0.247118
1000000000,1000000000,1,1,0,0.243832
1000000000,1000000000,1,1,0,0.243744
1000000000,1000000000,1,1,0,0.246936
1000000000,1000000000,1,1,0,0.29832
1000000000,1000000000,1,1,0,0.240936
1000000000,1000000000,1,1,0,0.246867
1000000,15625,1,64,3.14159,0.252566
1000000,15625,1,64,3.14159,0.253242
1000000,15625,1,64,3.14159,0.250691
1000000,15625,1,64,3.14159,0.252964
1000000,15625,1,64,3.14159,0.252462
1000000,15625,1,64,3.14159,0.253002
1000000,15625,1,64,3.14159,0.250469
1000000,15625,1,64,3.14159,0.2505
1000000,15625,1,64,3.14159,0.250782
1000000,15625,1,64,3.14159,0.252786
10000000,156250,1,64,3.14159,0.512471
10000000,156250,1,64,3.14159,0.510491
10000000,156250,1,64,3.14159,0.511174
10000000,156250,1,64,3.14159,0.511968
10000000,156250,1,64,3.14159,0.487365
10000000,156250,1,64,3.14159,0.444157
10000000,156250,1,64,3.14159,0.509734
10000000,156250,1,64,3.14159,0.512678
10000000,156250,1,64,3.14159,0.511933
10000000,156250,1,64,3.14159,0.511415
100000000,1562500,1,64,3.14039,3.07832
100000000,1562500,1,64,3.14039,3.08948
100000000,1562500,1,64,3.14039,2.98335
100000000,1562500,1,64,3.14039,2.97119
100000000,1562500,1,64,3.14039,3.06175
100000000,1562500,1,64,3.14039,3.08998
100000000,1562500,1,64,3.14039,3.0877
100000000,1562500,1,64,3.14039,3.08718
100000000,1562500,1,64,3.14039,2.99853
100000000,1562500,1,64,3.14039,3.07941
1000000000,15625000,1,64,0,0.264785
1000000000,15625000,1,64,0,0.246053
1000000000,15625000,1,64,0,0.30347
1000000000,15625000,1,64,0,0.248629
1000000000,15625000,1,64,0,0.247268
1000000000,15625000,1,64,0,0.2491
1000000000,15625000,1,64,0,0.255127
1000000000,15625000,1,64,0,0.240505
1000000000,15625000,1,64,0,0.239488
1000000000,15625000,1,64,0,0.246985
1000000,3906,1,256,3.14146,0.253281
1000000,3906,1,256,3.14146,0.251402
1000000,3906,1,256,3.14146,0.251622
1000000,3906,1,256,3.14146,0.249569
1000000,3906,1,256,3.14146,0.175317
1000000,3906,1,256,3.14146,0.249731
1000000,3906,1,256,3.14146,0.251602
1000000,3906,1,256,3.14146,0.249527
1000000,3906,1,256,3.14146,0.273454
1000000,3906,1,256,3.14146,0.253817
10000000,39062,1,256,3.14157,0.482995
10000000,39062,1,256,3.14157,0.487078
10000000,39062,1,256,3.14157,0.482975
10000000,39062,1,256,3.14157,0.476171
10000000,39062,1,256,3.14157,0.482679
10000000,39062,1,256,3.14157,0.480876
10000000,39062,1,256,3.14157,0.487005
10000000,39062,1,256,3.14157,0.480854
10000000,39062,1,256,3.14157,0.483038
10000000,39062,1,256,3.14157,0.482234
100000000,390625,1,256,3.14109,2.82034
100000000,390625,1,256,3.14109,2.84141
100000000,390625,1,256,3.14109,2.83713
100000000,390625,1,256,3.14109,2.83931
100000000,390625,1,256,3.14109,2.73581
100000000,390625,1,256,3.14109,2.84532
100000000,390625,1,256,3.14109,2.49107
100000000,390625,1,256,3.14109,2.09571
100000000,390625,1,256,3.14109,2.42327
100000000,390625,1,256,3.14109,2.50207
1000000000,3906250,1,256,3.12729,24.267
1000000000,3906250,1,256,3.12729,19.3125
1000000000,3906250,1,256,3.12729,20.3338
1000000000,3906250,1,256,3.12729,20.5861
1000000000,3906250,1,256,3.12729,20.4636
1000000000,3906250,1,256,3.12729,18.5666
1000000000,3906250,1,256,3.12729,19.5374
1000000000,3906250,1,256,0,0.245426
1000000000,3906250,1,256,0,0.242205
1000000000,3906250,1,256,3.12729,20.3743
1000000,976,1,1024,3.14044,0.217872
1000000,976,1,1024,3.14044,0.213588
1000000,976,1,1024,3.14044,0.233199
1000000,976,1,1024,3.14044,0.213749
1000000,976,1,1024,3.14044,0.254039
1000000,976,1,1024,3.14044,0.205898
1000000,976,1,1024,3.14044,0.233049
1000000,976,1,1024,3.14044,0.256264
1000000,976,1,1024,3.14044,0.256238
1000000,976,1,1024,3.14044,0.257123
10000000,9765,1,1024,3.14148,0.360848
10000000,9765,1,1024,3.14148,0.485793
10000000,9765,1,1024,3.14148,0.480355
10000000,9765,1,1024,3.14148,0.480281
10000000,9765,1,1024,3.14148,0.464323
10000000,9765,1,1024,3.14148,0.436486
10000000,9765,1,1024,3.14148,0.484916
10000000,9765,1,1024,3.14148,0.482926
10000000,9765,1,1024,3.14148,0.482774
10000000,9765,1,1024,3.14148,0.40612
100000000,97656,1,1024,3.14154,2.62405
100000000,97656,1,1024,3.14154,2.62614
100000000,97656,1,1024,3.14154,2.65636
100000000,97656,1,1024,3.14154,2.62743
100000000,97656,1,1024,3.14154,2.5694
