num_steps,num_blocks,num_threads,thread_steps,result,runtime
1000000,1000000,1,1,3.14156,0.101753
1000000,1000000,1,1,3.14156,0.074987
1000000,1000000,1,1,3.14156,0.066802
1000000,1000000,1,1,3.14156,0.100573
1000000,1000000,1,1,3.14156,0.068375
1000000,1000000,1,1,3.14156,0.096401
1000000,1000000,1,1,3.14156,0.068022
1000000,1000000,1,1,3.14156,0.100883
1000000,1000000,1,1,3.14156,0.066626
1000000,1000000,1,1,3.14156,0.096683
10000000,10000000,1,1,3.14159,0.268955
10000000,10000000,1,1,3.14159,0.231971
10000000,10000000,1,1,3.14159,0.208438
10000000,10000000,1,1,3.14159,0.193454
10000000,10000000,1,1,3.14159,0.192859
10000000,10000000,1,1,3.14159,0.193071
10000000,10000000,1,1,3.14159,0.190127
10000000,10000000,1,1,3.14159,0.190895
10000000,10000000,1,1,3.14159,0.200112
10000000,10000000,1,1,3.14159,0.192653
100000000,100000000,1,1,3.14159,1.52975
100000000,100000000,1,1,3.14159,1.58924
100000000,100000000,1,1,3.14159,1.56336
100000000,100000000,1,1,3.14159,1.57206
100000000,100000000,1,1,3.14159,1.56246
100000000,100000000,1,1,3.14159,1.55225
100000000,100000000,1,1,3.14159,1.561
100000000,100000000,1,1,3.14159,1.55768
100000000,100000000,1,1,3.14159,1.56673
100000000,100000000,1,1,3.14159,1.57127
1000000000,1000000000,1,1,3.14159,15.0725
1000000000,1000000000,1,1,3.14159,15.1848
1000000000,1000000000,1,1,3.14159,15.164
1000000000,1000000000,1,1,3.14159,15.2011
1000000000,1000000000,1,1,3.14159,15.1848
1000000000,1000000000,1,1,3.14159,15.1438
1000000000,1000000000,1,1,3.14159,15.1558
1000000000,1000000000,1,1,3.14159,15.2744
1000000000,1000000000,1,1,3.14159,15.2289
1000000000,1000000000,1,1,3.14159,15.2457
1000000,15625,1,64,3.14072,0.064961
1000000,15625,1,64,3.14078,0.051478
1000000,15625,1,64,3.14077,0.051008
1000000,15625,1,64,3.14064,0.059564
1000000,15625,1,64,3.14082,0.048915
1000000,15625,1,64,3.14081,0.076816
1000000,15625,1,64,3.14078,0.048775
1000000,15625,1,64,3.1407,0.04697
1000000,15625,1,64,3.14077,0.084251
1000000,15625,1,64,3.14078,0.072543
10000000,156250,1,64,3.14156,0.110685
10000000,156250,1,64,3.14157,0.11215
10000000,156250,1,64,3.14156,0.143958
10000000,156250,1,64,3.14157,0.14358
10000000,156250,1,64,3.14156,0.112465
10000000,156250,1,64,3.14156,0.110894
10000000,156250,1,64,3.14156,0.109962
10000000,156250,1,64,3.14156,0.112954
10000000,156250,1,64,3.14157,0.110266
10000000,156250,1,64,3.14157,0.112754
100000000,1562500,1,64,3.14159,0.759802
100000000,1562500,1,64,3.14159,0.741458
100000000,1562500,1,64,3.14159,0.741751
100000000,1562500,1,64,3.14159,0.743301
100000000,1562500,1,64,3.14159,0.744067
100000000,1562500,1,64,3.14159,0.743424
100000000,1562500,1,64,3.14159,0.740874
100000000,1562500,1,64,3.14159,0.741197
100000000,1562500,1,64,3.14159,0.740986
100000000,1562500,1,64,3.14159,0.743083
1000000000,15625000,1,64,3.14159,7.07525
1000000000,15625000,1,64,3.14159,7.08954
1000000000,15625000,1,64,3.14159,7.07252
1000000000,15625000,1,64,3.14159,7.0792
1000000000,15625000,1,64,3.14159,7.08028
1000000000,15625000,1,64,3.14159,7.10246
1000000000,15625000,1,64,3.14159,7.07218
1000000000,15625000,1,64,3.14159,7.08056
1000000000,15625000,1,64,3.14159,7.12532
1000000000,15625000,1,64,3.14159,7.10522
1000000,3906,1,256,3.13735,0.065638
1000000,3906,1,256,3.1377,0.047584
1000000,3906,1,256,3.13634,0.048591
1000000,3906,1,256,3.1372,0.08067
1000000,3906,1,256,3.13747,0.079588
1000000,3906,1,256,3.1375,0.047395
1000000,3906,1,256,3.13733,0.050601
1000000,3906,1,256,3.1376,0.050941
1000000,3906,1,256,3.138,0.081395
1000000,3906,1,256,3.13693,0.049747
