num_threads,N,M,Gbytes,time
1,4,2,1.12e-07,0.060722
1,4,2,1.12e-07,0.039448
1,4,2,1.12e-07,0.073898
1,4,2,1.12e-07,0.042555
1,4,2,1.12e-07,0.041641
1,4,2,1.12e-07,0.039771
1,4,2,1.12e-07,0.077308
1,4,2,1.12e-07,0.050782
1,4,2,1.12e-07,0.041015
1,4,2,1.12e-07,0.043227
1,16,8,1.216e-06,0.038916
1,16,8,1.216e-06,0.065116
1,16,8,1.216e-06,0.039707
1,16,8,1.216e-06,0.050227
1,16,8,1.216e-06,0.041767
1,16,8,1.216e-06,0.039631
1,16,8,1.216e-06,0.0417
1,16,8,1.216e-06,0.042256
1,16,8,1.216e-06,0.072848
1,16,8,1.216e-06,0.074293
1,256,128,0.000265216,0.043129
1,256,128,0.000265216,0.043091
1,256,128,0.000265216,0.059577
1,256,128,0.000265216,0.041996
1,256,128,0.000265216,0.069736
1,256,128,0.000265216,0.042373
1,256,128,0.000265216,0.074475
1,256,128,0.000265216,0.041221
1,256,128,0.000265216,0.0404
1,256,128,0.000265216,0.039492
1,1024,512,0.00420659,0.04927
1,1024,512,0.00420659,0.040438
1,1024,512,0.00420659,0.039938
1,1024,512,0.00420659,0.039687
1,1024,512,0.00420659,0.040272
1,1024,512,0.00420659,0.040605
1,1024,512,0.00420659,0.039549
1,1024,512,0.00420659,0.053912
1,1024,512,0.00420659,0.057735
1,1024,512,0.00420659,0.21251
1,4096,2048,0.067158,0.148902
1,4096,2048,0.067158,0.057593
1,4096,2048,0.067158,0.060447
1,4096,2048,0.067158,0.242185
1,4096,2048,0.067158,0.058838
1,4096,2048,0.067158,0.063443
1,4096,2048,0.067158,0.184996
1,4096,2048,0.067158,0.055038
1,4096,2048,0.067158,0.060245
1,4096,2048,0.067158,0.194907
1,16384,8192,1.07394,0.242009
1,16384,8192,1.07394,0.206144
1,16384,8192,1.07394,0.18842
1,16384,8192,1.07394,0.298796
1,16384,8192,1.07394,0.267615
1,16384,8192,1.07394,0.288529
1,16384,8192,1.07394,0.147555
1,16384,8192,1.07394,0.19353
1,16384,8192,1.07394,0.243859
1,16384,8192,1.07394,0.140538
1,32768,16384,4.29536,0.483627
1,32768,16384,4.29536,0.486449
1,32768,16384,4.29536,0.498952
1,32768,16384,4.29536,0.465244
1,32768,16384,4.29536,0.466613
1,32768,16384,4.29536,0.43339
1,32768,16384,4.29536,0.427571
1,32768,16384,4.29536,0.431596
1,32768,16384,4.29536,0.433653
1,32768,16384,4.29536,0.427905
1,4,2,1.12e-07,0.076147
1,4,2,1.12e-07,0.0503
1,4,2,1.12e-07,0.044056
1,4,2,1.12e-07,0.043882
1,4,2,1.12e-07,0.043917
1,4,2,1.12e-07,0.09808
1,4,2,1.12e-07,0.081156
