num_threads,nrepeat,N,M,Gbytes,time
2,100,4,2,1.12e-07,3.7e-05
2,100,4,8,3.52e-07,5.1e-05
2,100,4,128,5.152e-06,0.000484
2,100,4,512,2.0512e-05,0.001669
2,100,4,2048,8.1952e-05,0.0063
2,100,4,8192,0.000327712,0.022054
2,100,4,32768,0.00131075,0.081535
2,100,16,2,4e-07,3.3e-05
2,100,16,8,1.216e-06,7.2e-05
2,100,16,128,1.7536e-05,0.000907
2,100,16,512,6.976e-05,0.003557
2,100,16,2048,0.000278656,0.013984
2,100,16,8192,0.00111424,0.055412
2,100,16,32768,0.00445658,0.217254
2,100,256,2,6.16e-06,0.000254
2,100,256,8,1.8496e-05,0.000791
2,100,256,128,0.000265216,0.011803
