method,num_steps,num_threads,result,runtime
critical,10000,1,3.14159,0.000904
critical,10000,1,3.14159,0.000315
critical,10000,1,3.14159,0.000335
critical,10000,1,3.14159,0.000347
critical,10000,1,3.14159,0.00031
critical,10000,1,3.14159,0.000347
critical,10000,1,3.14159,0.00032
critical,10000,1,3.14159,0.000316
critical,10000,1,3.14159,0.000301
critical,10000,1,3.14159,0.000329
critical,100000,1,3.14159,0.001719
critical,100000,1,3.14159,0.001666
critical,100000,1,3.14159,0.001657
critical,100000,1,3.14159,0.001688
critical,100000,1,3.14159,0.001658
critical,100000,1,3.14159,0.001686
critical,100000,1,3.14159,0.001691
critical,100000,1,3.14159,0.001663
critical,100000,1,3.14159,0.001686
critical,100000,1,3.14159,0.001687
critical,1000000,1,3.14159,0.014635
critical,1000000,1,3.14159,0.014902
critical,1000000,1,3.14159,0.014717
critical,1000000,1,3.14159,0.014873
critical,1000000,1,3.14159,0.014914
critical,1000000,1,3.14159,0.014732
critical,1000000,1,3.14159,0.014744
critical,1000000,1,3.14159,0.014677
critical,1000000,1,3.14159,0.014802
critical,1000000,1,3.14159,0.014901
critical,10000000,1,3.14159,0.145043
critical,10000000,1,3.14159,0.144637
critical,10000000,1,3.14159,0.144508
critical,10000000,1,3.14159,0.14448
critical,10000000,1,3.14159,0.144792
critical,10000000,1,3.14159,0.144184
critical,10000000,1,3.14159,0.144005
critical,10000000,1,3.14159,0.144532
critical,10000000,1,3.14159,0.144423
critical,10000000,1,3.14159,0.144746
critical,10000,2,3.14159,0.00363
critical,10000,2,3.14159,0.001282
critical,10000,2,3.14159,0.001271
critical,10000,2,3.14159,0.001223
critical,10000,2,3.14159,0.00403
critical,10000,2,3.14159,0.002003
critical,10000,2,3.14159,0.001255
critical,10000,2,3.14159,0.001026
critical,10000,2,3.14159,0.00122
critical,10000,2,3.14159,0.001241
critical,100000,2,3.14159,0.025154
critical,100000,2,3.14159,0.015966
critical,100000,2,3.14159,0.013467
critical,100000,2,3.14159,0.014155
critical,100000,2,3.14159,0.011384
critical,100000,2,3.14159,0.012122
critical,100000,2,3.14159,0.012206
critical,100000,2,3.14159,0.012883
critical,100000,2,3.14159,0.014246
critical,100000,2,3.14159,0.012958
critical,1000000,2,3.14159,0.123938
critical,1000000,2,3.14159,0.143154
critical,1000000,2,3.14159,0.129828
critical,1000000,2,3.14159,0.144851
critical,1000000,2,3.14159,0.148782
critical,1000000,2,3.14159,0.135649
critical,1000000,2,3.14159,0.141502
critical,1000000,2,3.14159,0.150188
critical,1000000,2,3.14159,0.130474
critical,1000000,2,3.14159,0.137245
critical,10000000,2,3.14159,1.21931
critical,10000000,2,3.14159,1.17159
critical,10000000,2,3.14159,1.12498
critical,10000000,2,3.14159,1.10766
critical,10000000,2,3.14159,1.13898
critical,10000000,2,3.14159,1.32149
critical,10000000,2,3.14159,1.14589
critical,10000000,2,3.14159,1.62244
critical,10000000,2,3.14159,1.59633
critical,10000000,2,3.14159,1.51963
critical,10000,4,3.14159,0.004197
critical,10000,4,3.14159,0.004598
critical,10000,4,3.14159,0.003644
critical,10000,4,3.14159,0.003593
critical,10000,4,3.14159,0.00341
critical,10000,4,3.14159,0.003698
critical,10000,4,3.14159,0.003096
critical,10000,4,3.14159,0.003689
critical,10000,4,3.14159,0.003543
critical,10000,4,3.14159,0.003383
critical,100000,4,3.14159,0.034389
critical,100000,4,3.14159,0.036614
critical,100000,4,3.14159,0.034602
critical,100000,4,3.14159,0.034847
critical,100000,4,3.14159,0.035815
critical,100000,4,3.14159,0.036423
critical,100000,4,3.14159,0.03563
critical,100000,4,3.14159,0.034271
critical,100000,4,3.14159,0.034325
critical,100000,4,3.14159,0.034452
critical,1000000,4,3.14159,0.348499
critical,1000000,4,3.14159,0.36533
critical,1000000,4,3.14159,0.366754
