num_threads,nrepeat,N,M,Gbytes,time
1,100,4,2,1.12e-07,2.2e-05
1,100,16,8,1.216e-06,7.3e-05
1,100,256,128,0.000265216,0.012618
1,100,1024,512,0.00420659,0.195633
1,100,4096,2048,0.067158,3.10241
1,100,16384,8192,1.07394,51.5453
1,100,32768,16384,4.29536,457.57
2,100,4,2,1.12e-07,0.00091
2,100,16,8,1.216e-06,0.001255
2,100,256,128,0.000265216,0.009346
2,100,1024,512,0.00420659,0.103368
2,100,4096,2048,0.067158,1.58547
2,100,16384,8192,1.07394,25.8347
2,100,32768,16384,4.29536,251.841
4,100,4,2,1.12e-07,0.002096
4,100,16,8,1.216e-06,0.002105
4,100,256,128,0.000265216,0.010569
4,100,1024,512,0.00420659,0.061493
4,100,4096,2048,0.067158,1.32137
4,100,16384,8192,1.07394,14.5612
4,100,32768,16384,4.29536,204.609
8,100,4,2,1.12e-07,0.007771
8,100,16,8,1.216e-06,0.005693
8,100,256,128,0.000265216,0.011883
8,100,1024,512,0.00420659,0.084228
8,100,4096,2048,0.067158,1.00334
8,100,16384,8192,1.07394,13.8247
8,100,32768,16384,4.29536,185.537
